character,pinyin,gloss,gloss_source,gloss_agreement,our_render,lock_status,never_render_as,occurrences,chapter_count,chapters,first_chapter,last_chapter,per_1000,glossary_entry
門,mén,,apparatus-split,1/2,,,,5,5,"1,6,10,52,56",1,56,0.94,
食,shí,,apparatus-split,1/2,,,,5,5,"20,24,53,75,80",20,80,0.94,
驚,jīng,alarm,apparatus,3/4,,,,5,1,13,13,13,0.94,
亂,luàn,,none,,,,,4,4,"3,18,38,64",3,64,0.76,
亡,wáng,perish,apparatus,1/1,,,,4,3,"33,41,44",33,44,0.76,
保,bǎo,,apparatus-split,1/2,,,,4,4,"9,15,62,67",9,67,0.76,
光,guāng,,none,,,,,4,4,"4,52,56,58",4,58,0.76,
入,rù,,none,,,,,4,3,"43,50,61",43,61,0.76,
公,gōng,impartiality / impartial (the quality) · lord / minister (the office),locked,,impartiality / impartial (the quality) · lord / minister (the office),locked,duke; equanimity; justice,4,3,"16,42,62",16,62,0.76,glossary/gong-公.md
勇,yǒng,,none,,,,,4,2,"67,73",67,73,0.76,
勿,wù,do not,apparatus,4/4,,,,4,1,30,30,30,0.76,
十,shí,,none,,,,,4,2,"11,50",11,50,0.76,
及,Jí,,apparatus-split,1/2,,,,4,4,"13,21,43,48",13,48,0.76,
反,fǎn,returning/reverting,apparatus,1/1,,,,4,4,"25,40,65,78",25,78,0.76,
右,yòu,,apparatus-split,1/2,,,,4,2,"31,34",31,34,0.76,
司,sī,,none,,,,,4,2,"74,79",74,79,0.76,
味,wèi,flavors/tastes,apparatus,1/1,,,,4,3,"12,35,63",12,63,0.76,
堅,jiān,,none,,,,,4,3,"43,76,78",43,78,0.76,
奇,jī,,none,,,,,4,3,"57,58,74",57,74,0.76,
妙,miào,subtle,locked,,subtle,locked,mystery; mysterious; the occult,4,3,"1,15,27",1,27,0.76,glossary/xuan-miao-玄妙.md
姓,xìng,surnames/people,apparatus,1/1,,,,4,3,"5,17,49",5,49,0.76,
存,cún,,apparatus-split,1/2,,,,4,4,"4,6,7,41",4,41,0.76,
學,xué,study/learning,apparatus,1/1,,,,4,3,"20,48,64",20,64,0.76,
察,chá,,none,,,,,4,2,"20,58",20,58,0.76,
寵,Chǒng,,apparatus-split,1/2,,,,4,1,13,13,13,0.76,
少,Shǎo,,apparatus-split,1/2,,,,4,4,"19,22,47,63",19,63,0.76,
尚,shàng,still,apparatus,1/1,,,,4,3,"3,23,31",3,31,0.76,
幾,jī,it is close/near,apparatus,1/1,,,,4,4,"8,20,64,69",8,69,0.76,
徒,tú,,none,,,,,4,2,"50,76",50,76,0.76,
微,wēi,,apparatus-split,1/2,,,,4,4,"14,15,36,64",14,64,0.76,
恍,huǎng,,apparatus-split,1/3,,,,4,2,"14,21",14,21,0.76,
患,huàn,,apparatus-split,1/2,,,,4,1,13,13,13,0.76,
悶,mèn,,none,,,,,4,2,"20,58",20,58,0.76,
惚,hū,,apparatus-split,1/3,,,,4,2,"14,21",14,21,0.76,
救,jiù,,none,,,,,4,3,"27,52,67",27,67,0.76,
敵,dí,,none,,,,,4,2,"68,69",68,69,0.76,
早,zǎo,,none,,,,,4,3,"30,55,59",30,59,0.76,
昏,hūn,,none,,,,,4,3,"18,20,57",18,57,0.76,
服,Fú,,none,,,,,4,3,"53,59,80",53,80,0.76,
清,qīng,make it clear,apparatus,1/1,,,,4,3,"15,39,45",15,45,0.76,
畜,xù,nourishing/rearing,apparatus,1/1,,,,4,3,"10,51,61",10,61,0.76,
盜,dào,thieves,apparatus,1/1,,,,4,4,"3,19,53,57",3,57,0.76,
祥,xiáng,,none,,,,,4,3,"31,55,78",31,78,0.76,
禍,Huò,,none,,,,,4,3,"46,58,69",46,69,0.76,
絕,Jué,,apparatus-split,2/4,,,,4,2,"19,20",19,20,0.76,
繩,Shéng,,none,,,,,4,3,"14,27,80",14,80,0.76,
軍,jūn,army/campaign,apparatus,1/1,,,,4,3,"30,31,50",30,50,0.76,
過,guo,,none,,,,,4,3,"35,61,64",35,64,0.76,
高,gāo,,none,,,,,4,3,"2,39,77",2,77,0.76,
二,èr,,none,,,,,3,2,"42,67",42,67,0.57,
