component,pinyin,gloss,role,gloss_status,builds_characters,characters
亢,,,phonetic,"no gloss needed: present for sound, not meaning",1,抗
亲,,,phonetic,"no gloss needed: present for sound, not meaning",1,親
亼,jí,to gather together,phonetic,glossed,1,食
亾,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,喪
代,dài,,phonetic,"no gloss needed: present for sound, not meaning",1,貸
令,lìng,cause,semantic,glossed,1,命
以,yǐ,,phonetic,the apparatus glosses this character several ways and none won a majority,1,矣
來,lái,,semantic,not yet glossed — see sources/component-glosses.yaml,1,嗇
侌,,,phonetic,"no gloss needed: present for sound, not meaning",1,陰
俞,,,phonetic,"no gloss needed: present for sound, not meaning",1,渝
偶,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,二
僉,,,phonetic,"no gloss needed: present for sound, not meaning",1,儉
兀,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,長
元,,,phonetic,"no gloss needed: present for sound, not meaning",1,頑
兄,,,phonetic,"no gloss needed: present for sound, not meaning",1,況
免,miǎn,,phonetic,"no gloss needed: present for sound, not meaning",1,晚
六,Liù,six,semantic,glossed,1,冥
兮,xī,oh,semantic,glossed,1,乎
共,gòng,share/unite,phonetic,glossed,1,拱
兼,jiān,,phonetic,"no gloss needed: present for sound, not meaning",1,廉
冎,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,骨
冖,,,phonetic,"no gloss needed: present for sound, not meaning",1,冥
冬,dōng,,phonetic,"no gloss needed: present for sound, not meaning",1,終
几,jī,"a low table, a stool",phonetic,glossed,1,飢
刀,dāo,a knife,phonetic,glossed,1,召
刅,,,phonetic,"no gloss needed: present for sound, not meaning",1,梁
分,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,貧
刑,,,phonetic,"no gloss needed: present for sound, not meaning",1,荊
判,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,解
則,zé,then/thus,phonetic,glossed,1,賊
勺,,,phonetic,"no gloss needed: present for sound, not meaning",1,約
勻,,,phonetic,"no gloss needed: present for sound, not meaning",1,均
勻,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,均
勿,wù,do not,phonetic,glossed,1,物
包,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,軍
匕,bǐ,"a spoon, a ladle",phonetic,glossed,1,牝
化,huà,,phonetic,"no gloss needed: present for sound, not meaning",1,貨
匚,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,匠
匹,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,甚
半,,,phonetic,"no gloss needed: present for sound, not meaning",1,泮
卩,jié,a kneeling person,semantic,glossed,1,絕
卬,,,phonetic,"no gloss needed: present for sound, not meaning",1,迎
卸,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,御
厥,,,phonetic,"no gloss needed: present for sound, not meaning",1,蹶
厶,sī,enclosing for oneself — the private,phonetic,glossed,1,私
厷,,,phonetic,"no gloss needed: present for sound, not meaning",1,雄
厹,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,萬
去,qù,,semantic,the apparatus glosses this character several ways and none won a majority,1,法
叀,,,phonetic,"no gloss needed: present for sound, not meaning",1,專
又,yòu,,phonetic,"no gloss needed: present for sound, not meaning",1,有
反,fǎn,returning/reverting,semantic,glossed,1,司
叕,,,phonetic,"no gloss needed: present for sound, not meaning",1,輟
叚,,,phonetic,"no gloss needed: present for sound, not meaning",1,瑕
句,,,phonetic,"no gloss needed: present for sound, not meaning",1,狗
可,kě,,semantic,the apparatus glosses this character several ways and none won a majority,1,奇
史,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,事
号,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,號
各,Gè,Each,phonetic,glossed,1,客
各,Gè,Each,semantic,glossed,1,咎
吅,,,phonetic,"no gloss needed: present for sound, not meaning",1,患
吅,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,患
合,hé,,semantic,not yet glossed — see sources/component-glosses.yaml,1,白
同,tóng,merge/identify,semantic,glossed,1,興
后,,,phonetic,"no gloss needed: present for sound, not meaning",1,垢
后,,,semantic,not yet glossed — see sources/component-glosses.yaml,1,司
吏,,,phonetic,"no gloss needed: present for sound, not meaning",1,使
向,,,phonetic,"no gloss needed: present for sound, not meaning",1,尚
呈,,,phonetic,"no gloss needed: present for sound, not meaning",1,聖
咅,,,phonetic,"no gloss needed: present for sound, not meaning",1,倍
和,hé,harmonious,semantic,glossed,1,利
